"","x"
"1",792.172741372684
"2",362.884099355727
"3",210.119738120497
"4",145.615186737839
"5",101.20018903574
"6",67.1257742243424
"7",45.4307882579549
"8",34.7362734853953
"9",24.3033366827077
"10",21.1660104885167
"11",19.8417653492302
"12",16.4805550771864
"13",8.80957976592379
"14",7.76838632451789
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
