"","x"
"1",81.7690256188338
"2",35.0115744788507
"3",41.5113501589831
"4",22.1596175300385
"5",16.8494489594896
"6",16.0671091491748
"7",12.1159901746014
"8",15.7680475043982
"9",22.2111052319799
"10",25.9126176974921
"11",29.3163250773503
"12",33.1816066933631
"13",35.93879959795
"14",36.5882754294281
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
