"","x"
"1",81.5732536589211
"2",34.4550623208886
"3",49.1672702490483
"4",22.2985724770714
"5",18.2360532981014
"6",17.8848713298369
"7",13.9760896837289
"8",21.8497000915601
"9",25.1814308238433
"10",24.60455342151
"11",47.4459074503074
"12",43.2363572973757
"13",35.93879959795
"14",36.5882754294281
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
