"","x"
"1",768.547500724298
"2",341.60255319278
"3",193.126113335752
"4",132.753776659616
"5",90.9978499507113
"6",61.6568343121126
"7",42.3330480419464
"8",30.606904591867
"9",23.3405785852804
"10",19.6690001072091
"11",16.0095080444743
"12",11.6730831216614
"13",8.80957976592379
"14",7.76838632451789
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
